Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;10;BRF S.A.;9051071;EFETIVADA;09/12/2023;11/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;288,53;81,39;29,92;0,00;4906,50;883,16;5400,29;269,26;6520,08
1;41;UNILIDER DISTRIBUIDORA S.A.;1951128;EFETIVADA;10/12/2023;11/12/2023;0,00;2,50;0,00;0,00;0,00;0,00;111,55;13,39;3,12;0,00;669,37;120,49;825,34;28,07;1146,81
1;64;COROADO AGRO IND E COM LTDA;22997;EFETIVADA;11/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;405,44
1;28;FORCA TOTAL DIST.DE GEN. ALIMENT. LTDA;906852;EFETIVADA;11/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;58,07;6,96;0,55;0,00;348,40;62,71;115,43;4,99;586,19
1;441;MASTERMIX DISTRIBUIDORA DE GENEROS ALIME;169517;EFETIVADA;11/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;25,85;3,11;0,00;0,00;155,08;27,91;0,00;0,00;258,48
1;483;MEZZANI ALIMENTOS LTDA;43558;EFETIVADA;11/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,93;0,00;391,80;47,02;296,56;30,08;427,81
1;16;COMERCIAL BEIRAO DA SERRA LTDA.;732183;EFETIVADA;12/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;53,99;6,48;0,00;0,00;323,91;58,30;0,00;0,00;539,85
1;539;NOBREDO COMERCIO E LOGISTICA LTDA;820288;EFETIVADA;13/12/2023;13/12/2023;0,00;1,90;0,00;0,00;0,00;0,00;69,37;8,35;1,29;0,00;417,32;75,12;268,23;11,60;605,09
1;33;ITAMBÉ ALIMENTOS S/A;1848267;EFETIVADA;13/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,10;3,76;0,00;504,00;90,73;634,32;33,86;880,38
1;33;ITAMBÉ ALIMENTOS S/A;1848266;EFETIVADA;13/12/2023;13/12/2023;0,00;0,00;0,00;48,92;0,00;0,00;0,00;8,18;4,14;0,00;409,00;73,62;616,18;37,30;450,44
1;292;FRIMESA COOPERATIVA CENTRAL;932313;EFETIVADA;13/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,57;14,91;0,00;2029,02;365,23;2709,35;134,02;2145,79
1;36;PURA SAUDE DISTRIBUIDORA DE ALIMENTOS EIRELI;21454;EFETIVADA;13/12/2023;14/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;279,00
1;379;LATICINIOS TIROLEZ LTDA;206165;EFETIVADA;13/12/2023;15/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,12;0,00;102,79;12,33;156,14;15,78;121,69
1;379;LATICINIOS TIROLEZ LTDA;206415;EFETIVADA;13/12/2023;15/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,61;0,00;115,33;13,84;180,36;18,62;137,56
1;8;IRIS COMERCIO DE PROD ALIMENTICIOS LTDA;439722;EFETIVADA;13/12/2023;14/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,13;0,00;0,00;356,67;64,20;0,00;0,00;1986,37
