Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;306;ELENILSON DE OLIVEIRA MELO TRANSPORTES;4814;EFETIVADA;04/12/2023;04/12/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1249,34
1;550;PORCO FELIZ INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS E;4724;EFETIVADA;04/12/2023;07/12/2023;0;0;0;0;0;0;36;0;0;0;167,22;30,1;0;0;430
1;363;MA - KAYROS DIST DE ALIM E BEBIDAS LTDA;428296;EFETIVADA;04/12/2023;05/12/2023;0;0;0;0;0;0;256,84;30,84;3,74;0;1541,08;277,35;800,91;33,69;2605,89
1;571;CIA CAPITAL DE PRODUTOS ALIMENTICIOS;187394;EFETIVADA;04/12/2023;06/12/2023;0;0;0;0;0;0;376,2;1,12;0;0;1386,05;249,48;0;0;3476
1;232;UNILEVER BRASIL LTDA;360681;EFETIVADA;04/12/2023;05/12/2023;0;0;0;0;0;0;0;14,16;4,74;0;708,92;127,62;945,2;42,52;756,18
1;546;NOVA ROCHA COMERCIO DE ALIMENTOS EIRELI;59358;EFETIVADA;04/12/2023;06/12/2023;0;0;0;0;0;0;0;5,95;0;0;297,25;53,49;0;0;297,25
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;74135;EFETIVADA;04/12/2023;05/12/2023;0;0;0;0;0;0;0;1,2;0;0;60,21;10,84;0;0;497,67
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;74134;EFETIVADA;04/12/2023;05/12/2023;0;0;0;0;0;0;0;20,4;0;0;1020;183,6;0;0;1020
1;180;LUIS ANDRE ALMEIDA SILVA;8277826;EFETIVADA;04/12/2023;05/12/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;489
1;307;CASA FLORA LTDA;288338;EFETIVADA;04/12/2023;07/12/2023;0;0;0;0;0;0;0;0;79,08;0;2854,61;114,17;3953,76;624,79;3558,48
1;307;CASA FLORA LTDA;288337;EFETIVADA;04/12/2023;07/12/2023;0;0;0;0;0;0;0;0;3,83;0;146,83;5,87;191,7;30,5;181,16
1;441;MASTERMIX DISTRIBUIDORA DE GENEROS ALIME;168098;EFETIVADA;04/12/2023;05/12/2023;0;0;0;0;0;0;27,28;3,27;0;0;163,7;29,47;0;0;272,84
1;64;COROADO AGRO IND E COM LTDA;22961;EFETIVADA;04/12/2023;05/12/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;480,22
1;246;M. DIAS BRANCO S.A. INDÚSTRIA E COM DE ALIMENTOS;1597127;EFETIVADA;04/12/2023;05/12/2023;0;0;0;0;0;0;0;0;0;0;569,62;0;0;0;467,08
1;510;MC RIBEIRO DISTRIBUIDORA DE AVES ABATIDAS LTDA;4381;EFETIVADA;04/12/2023;05/12/2023;0;0;0;0;0;0;202,35;0;0;0;983,76;118,05;0;0;1686,25
1;458;ATLAS RIO DISTRIBUIDORA LTDA;221696;EFETIVADA;04/12/2023;05/12/2023;0;0;0;0;0;0;86,08;10,32;3,66;0;516,52;92,97;699,07;32,86;897,4
1;242;COMERCIAL LUCHELLE LTDA;177491;EFETIVADA;05/12/2023;05/12/2023;0;0;0;0;0;0;571,52;0;0;0;171,11;30,8;0;0;2490
1;292;FRIMESA COOPERATIVA CENTRAL;930416;EFETIVADA;05/12/2023;05/12/2023;0;0;0;0;0;0;0;2,42;0,94;0;121,22;21,82;167,95;8,41;130,57
1;70;LATICINIOS VILLAGGE INDUSTRIA E COMERCIO EIRELI;10709403;EFETIVADA;05/12/2023;06/12/2023;0;0;0;57;0;0;0;0;0;0;870;104,4;0;0;870
1;512;DRACAR COMERCIO DE ALIMENTOS LTDA;77416;EFETIVADA;05/12/2023;06/12/2023;0;0;0;0;0;0;0;34,43;0;0;1721,26;309,82;0;0;1721,26
1;49;RODIN DISTRIBUIDORA DE ALIMENTOS;51669;EFETIVADA;05/12/2023;06/12/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;517,98
1;313;MIDAS RIO IND COM GEM ALIMENT LTDA ME;72784;EFETIVADA;05/12/2023;06/12/2023;0;0;0;0;0;0;0;0;0;0;0;0;498,25;12,89;411,97
1;16;COMERCIAL BEIRAO DA SERRA LTDA.;729619;EFETIVADA;05/12/2023;06/12/2023;0;0;0;0;0;0;56,31;4,02;0;0;267,19;48,08;0;0;505,1
1;94;TOP BIRRA DIST. DE BEB. E LOGISTICA LTDA;6342605;EFETIVADA;05/12/2023;06/12/2023;0;0;0;0;0;0;46,23;5,55;1,29;0;277,38;49,92;341,97;11,64;475,2
1;23;MINALBA ALIMENTOS E BEBIDAS LTDA;1153508;EFETIVADA;05/12/2023;07/12/2023;0;0;0;0;0;0;0;24,7;11,22;0;1235,44;222,38;1796,18;100,93;1347,59
1;37;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;20528314;EFETIVADA;05/12/2023;06/12/2023;0;0;0;0;0;0;64,12;0;0;0;185,88;33,46;0;0;478
1;37;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;20528312;EFETIVADA;05/12/2023;06/12/2023;0;0;0;0;0;0;514,03;34,13;13,29;0;2372,86;427,13;2256,99;119,69;4689,43
1;37;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;20528313;EFETIVADA;05/12/2023;06/12/2023;0;0;0;0;0;0;22,94;0;0;0;66,5;11,97;0;0;171
1;71;MIX CERTO DIST. C. A. L. LTDA;1184367;EFETIVADA;05/12/2023;07/12/2023;0;0;0;0;0;0;399,68;47,95;9,14;0;2397,83;431,63;2373,34;82,35;4087,92
1;33;ITAMBÉ ALIMENTOS S/A;1845464;EFETIVADA;06/12/2023;06/12/2023;0;0;0;30;0;0;0;18,61;3,64;0;930,56;167,51;623,13;32,9;967,1
1;539;NOBREDO COMERCIO E LOGISTICA LTDA;814967;EFETIVADA;06/12/2023;06/12/2023;0;1,9;0;0;0;0;37,85;4,57;1,43;0;228,26;41,09;298,95;12,93;394,79
1;260;MISTERMIX DIST DE PROD ALIM LTDA;515895;EFETIVADA;06/12/2023;07/12/2023;0;0;0;0;0;0;42,5;5,1;0;0;254,97;45,89;0;0;424,95
1;20;MEGA RIO LOG E DISTRIB DE ALIMENTOS;1723894;EFETIVADA;06/12/2023;06/12/2023;0;0;0;0;0;0;323,89;31,18;6,79;0;1744,6;314,01;1288,43;61,07;3293,98
1;275;RD ITORORO EIRELI;2041;EFETIVADA;06/12/2023;07/12/2023;0;0;0;0;0;0;0;32,04;0;0;1602;288,36;0;0;1602
1;464;BASEL LACTEOS S A;26867;EFETIVADA;06/12/2023;08/12/2023;0;0;0;0;0;0;0;0;0;0;2081,21;249,75;0;0;2081,21
1;16;COMERCIAL BEIRAO DA SERRA LTDA.;730222;EFETIVADA;06/12/2023;07/12/2023;0;0;0;0;0;0;200;24;0;0;1200;216;0;0;2000
1;379;LATICINIOS TIROLEZ LTDA;196755;EFETIVADA;06/12/2023;08/12/2023;0;0;0;0;0;0;0;0;3,61;0;115,33;13,84;180,36;18,62;137,56
1;379;LATICINIOS TIROLEZ LTDA;196754;EFETIVADA;06/12/2023;08/12/2023;0;0;0;0;0;0;0;0;0;0;283,46;34,02;0;0;283,46
1;190;SEARA ALIMENTOS LTDA;1730031;EFETIVADA;07/12/2023;07/12/2023;0;0;0;0;0;0;96,01;16,04;3,8;0;1046,52;188,38;694;34,04;1468,38
1;69;GARCIA ATACADISTA LTDA;2598875;EFETIVADA;07/12/2023;07/12/2023;0;0;0;0;0;0;460,92;55,34;11,45;0;2765,57;497,81;2373,75;103,18;4723,9
1;572;SUPER VINHOS DISTRIBUIDORA S.A.;187290;EFETIVADA;07/12/2023;08/12/2023;0;0;0;0;0;0;358,27;7,81;2,32;0;391,11;114,19;346,41;42,9;1061,88
1;41;UNILIDER DISTRIBUIDORA S.A.;1948942;EFETIVADA;07/12/2023;08/12/2023;0;2,5;0;0;0;0;55,43;6,65;1,41;0;332,63;59,89;239,75;12,62;568,42
1;41;UNILIDER DISTRIBUIDORA S.A.;1948943;EFETIVADA;07/12/2023;08/12/2023;0;2,5;0;0;0;0;88,71;10,64;0;0;532,27;95,8;0;0;887,12
1;292;FRIMESA COOPERATIVA CENTRAL;931010;EFETIVADA;07/12/2023;07/12/2023;0;0;0;0;0;0;0;12,08;3,53;0;605,18;108,95;652,58;31,69;640,4
1;532;FORCE MEAT COM E DISTR DE CARNES E DERIVADOS LTDA;936079;EFETIVADA;07/12/2023;07/12/2023;0;0;0;0;0;0;66,37;0;0;0;681,26;81,76;0;0;1167,95
1;483;MEZZANI ALIMENTOS LTDA;1789;EFETIVADA;07/12/2023;07/12/2023;0;0;0;0;0;0;0;0;0;0;35,44;4,25;0;0;-35,44
1;494;RAR Industria e Comercio de Alimentos Ltda;168938;EFETIVADA;07/12/2023;12/12/2023;0;0;0;0;0;0;0;0;0;0;856,52;69,42;0;0;856,52
1;442;INDUSTRIAS GRANFINO S/A;1655837;EFETIVADA;07/12/2023;08/12/2023;0;0;0;0;0;0;155,43;8,8;0;0;643;115,74;0;0;1588,22
1;68;RIO DE JANEIRO REFRESCOS;947890;EFETIVADA;07/12/2023;08/12/2023;0;42,89;0;129,83;115,64;0;0;130,05;56,31;0;6502,73;1094,95;9163,69;476,72;7190,39
1;13;NOVA PROSPER DISTRIB DE ALIMENTOS LTDA;856068;EFETIVADA;07/12/2023;12/12/2023;0;3,9;0;0;0;0;100,45;12,05;4,15;0;602,7;108,5;810,64;37,45;1050
1;113;JOHNCENTER DISTRIBUICAO & LOGISTICA LTDA;259397;EFETIVADA;07/12/2023;14/12/2023;0;2,7;0;70,67;0;0;157,68;7,87;0,49;0;660,46;118,88;109,09;4,39;1350,01
1;521;OTIMA COMERCIO ATACADISTA DE PROD.E IMP.EIRELI;9111;EFETIVADA;07/12/2023;08/12/2023;0;0;0;0;0;0;0;27,92;0;0;1395,48;251,17;0;0;1972,68
1;475;RV COMERCIO ATACADISTA DE ALIMENTOS E BEBIDAS LTDA;6136;EFETIVADA;07/12/2023;09/12/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2062,32
1;23;MINALBA ALIMENTOS E BEBIDAS LTDA;1154533;EFETIVADA;07/12/2023;08/12/2023;0;0;0;0;0;0;0;7,5;6,11;0;375;67,5;680,4;54,97;436,08
1;71;MIX CERTO DIST. C. A. L. LTDA;1187375;EFETIVADA;07/12/2023;08/12/2023;0;0;0;0;0;0;19,71;2,37;0,37;0;118,27;21,29;136,81;3,34;200,83
1;71;MIX CERTO DIST. C. A. L. LTDA;1187374;EFETIVADA;07/12/2023;08/12/2023;0;0;0;0;0;0;431,84;51,81;9,52;0;2590,89;466,34;2992,28;85,69;4413,35
1;71;MIX CERTO DIST. C. A. L. LTDA;1187372;EFETIVADA;07/12/2023;08/12/2023;0;0;0;0;0;0;71,88;0;0;0;208,32;37,5;0;0;535,68
1;71;MIX CERTO DIST. C. A. L. LTDA;1187371;EFETIVADA;07/12/2023;08/12/2023;0;0;0;0;0;0;214,67;10,46;3,66;0;821,72;159,62;706,52;37,91;1779,11
1;573;NOVA COQUEIRO DE ALIMENTOS LTDA;1351706;EFETIVADA;08/12/2023;08/12/2023;0;0;0;0;0;0;40,51;2,85;0;0;142,56;52,75;0;0;1403,52
1;60;JBS S.A.;2921900;EFETIVADA;08/12/2023;08/12/2023;0;0;0;0;0;0;25,23;2,02;0,75;0;359,89;49,24;138,24;6,72;552,37
1;37;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;20529699;EFETIVADA;08/12/2023;08/12/2023;0;0;0;0;0;0;268,41;8,83;2,21;0;1006,22;181,14;464,47;19,86;2210,21
1;20;MEGA RIO LOG E DISTRIB DE ALIMENTOS;1725949;EFETIVADA;08/12/2023;11/12/2023;0;0;0;0;0;0;85,74;0;0;0;248,58;44,74;0;0;639,2
1;80;FORNO DE MINAS ALIMENTOS S/A - RJ 2;575392;EFETIVADA;08/12/2023;11/12/2023;0;0;0;0;0;0;0;26,9;2,38;0;1345,48;242,18;501,96;21,36;1369,22
1;53;PEPSICO DO BRASIL LTDA;1505;EFETIVADA;08/12/2023;08/12/2023;0;0;0;0;0;0;0;45,23;22,85;0;2262,59;407,28;3404,37;205,52;2490,96
1;53;PEPSICO DO BRASIL LTDA;1506;EFETIVADA;08/12/2023;08/12/2023;0;0;0;237,55;0;0;0;8,26;8,8;0;413,15;74,36;852,81;79,15;501,1
1;70;LATICINIOS VILLAGGE INDUSTRIA E COMERCIO EIRELI;10709931;EFETIVADA;08/12/2023;11/12/2023;0;0;0;28,5;0;0;0;0;0;0;539,42;64,73;0;0;539,42
1;513;MARQUESPAN INDUSTRIA DE ALIMENTOS LTDA;1047171;EFETIVADA;08/12/2023;13/12/2023;0;0;0;0;0;0;0;0;0;0;1610,55;193,27;0;0;1610,55
1;562;DISTRIBUIDORA DE CONGELADOS MIRACEMA LTDA;220346;EFETIVADA;08/12/2023;13/12/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1425,08
1;94;TOP BIRRA DIST. DE BEB. E LOGISTICA LTDA;6344743;EFETIVADA;08/12/2023;11/12/2023;0;0;0;0;0;0;77,58;9,31;3,21;0;465,48;83,77;588,23;28,9;807,89
1;468;Lua do Oriente Industria e Comercio Eireli;2506;EFETIVADA;08/12/2023;11/12/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140
1;44;CRBS S/A CDD PAVUNA;763226;EFETIVADA;08/12/2023;09/12/2023;0;0;0;0;316,58;0;58,53;224,97;97,88;0;11246,1;1971,75;15925,34;826,06;12644,82
1;10;BRF S.A.;9051082;EFETIVADA;09/12/2023;11/12/2023;0;0;0;0;0;0;211,76;28,76;9,62;0;2576,69;419,88;1697,5;86,6;3835,59
1;10;BRF S.A.;9051071;EFETIVADA;09/12/2023;11/12/2023;0;0;0;0;0;0;288,53;81,39;29,92;0;4906,5;883,16;5400,29;269,26;6520,08
