Quebra;Código do Produto;Descrição do Produto;Embalagem;Código da Situação Fiscal;Venda Anterior;Oferta Anterior;Funcionário Anterior;Venda Atual;Oferta Atual;Funcionário Atual;Dias;Preço;%
NENHUMA;7979;WHISKY CHIVAS REGAL 12 Y. 1L;UN;1;;;;169,99;149,99;16;;;
NENHUMA;5266;WHISKY EVAN WILLIAMS FIRE 750ML;UN;1;;;;59,99;59,99;23;;;
NENHUMA;13814;WHISKY J. W. BLACK LABEL 750ML;UN;1;;;;129,90;129,90;26;;;
NENHUMA;10290;WHISKY J. W. RED LABEL 1L;UN;1;;;;102,99;89,99;16;;;
NENHUMA;13571;WHISKY J. W. RED LABEL 750ML;UN;1;;;;79,99;69,99;16;;;
NENHUMA;9267;WHISKY JACK DANIEL'S FIRE 1L;UN;1;;;;179,99;149,99;16;;;
NENHUMA;8185;WHISKY JOHNNIE WALKER DOUBLE BLACK 1L;UN;1;;;;209,99;179,99;23;;;
NENHUMA;8941;XAROPE FABRI AMARENA ZERO 560ML;UN;1;;;;39,99;39,99;16;;;
NENHUMA;8940;XAROPE FABRI MIRTILLO 560ML;UN;1;;;;39,99;39,99;16;;;
NENHUMA;944;YAKULT 40 480G;UN;1;;;;15,99;12,99;23;;;
