Quebra;Código do Produto;Descrição do Produto;Embalagem;Código da Situação Fiscal;Venda Anterior;Oferta Anterior;Funcionário Anterior;Venda Atual;Oferta Atual;Funcionário Atual;Dias;Preço;%
NENHUMA;13950;P. HIG.ELITE ULT.FOLHA DUP.LV12PG11;UN;3;;;;18,99;15,99;16;;;
NENHUMA;15889;P. HIGIENICO MIMMO 6 RLS UN;UN;3;;;;10,99;9,99;16;;;
NENHUMA;15946;P.DE PERU SADIA T. S/OSSO KG;KG;1;;;;75,99;59,99;16;;;
NENHUMA;4954;PALMITO BOMTTONI RODELA 300G;UN;1;;;;18,59;15,99;16;;;
NENHUMA;13352;PANETTONE BAUDUCCO 500G;UN;324;;;;19,99;19,99;23;;;
NENHUMA;14802;PANETTONE SEVENBOYS FRUTAS 400G;UN;324;;;;16,99;16,99;23;;;
NENHUMA;14806;PANETTONE SEVENBOYS GOTAS CHOCOLATE 400G;UN;324;;;;16,99;7,99;23;;;
NENHUMA;10403;PANOS UMEDECIDOS COPERALCOOL CLASSICO 50UN;UN;1;;;;17,90;17,90;26;;;
NENHUMA;9652;PANOS UMEDECIDOS COPERALCOOL ORIENTAL 50UN;UN;1;;;;17,90;17,90;26;;;
NENHUMA;11945;PAO FORMA SEVENBOYS 450G;UN;1;;;;6,99;6,49;16;;;
NENHUMA;1344;PAO PLUSVITA TRADICIONAL 480G;UN;5;;;;7,99;6,99;16;;;
NENHUMA;8995;PASTEL DE AIPIM SABOR CAMARAO 400G;UN;1;;;;35,99;29,99;23;;;
NENHUMA;8996;PASTEL DE AIPIM SABOR CARNE SECA 400G;UN;1;;;;35,99;29,99;23;;;
NENHUMA;6023;PASTILHA ADESIVA PATO FRESH 3UN.;UN;1;;;;10,19;7,99;23;;;
NENHUMA;14891;PERNIL FRIMESA TEMP. CEBOLA CARAM. KG;KG;3;;;;39,99;35,99;23;;;
NENHUMA;14900;PERNIL FRIMESA TEMP. TOQUE DE VINHO KG;KG;3;;;;39,99;35,99;23;;;
NENHUMA;15979;PERU SADIA TEMP. KG;KG;2;;;;36,99;29,99;16;;;
NENHUMA;9673;PETIT SUISSE ITAMBE MORANGO OS INCRIV. 320G;UN;1;;;;7,79;6,99;23;;;
NENHUMA;6050;PIPOCA YOKI TEMPERADA 100G;UN;1;;;;4,29;3,19;23;;;
NENHUMA;15597;POLENGUINHO ORIGINAL 68G;UN;1;;;;6,59;1,99;23;;;
NENHUMA;15947;PRESUNTO TENRO SADIA SEMI OSSO KG;KG;1;;;;91,99;49,99;16;;;
NENHUMA;3557;QUEIJO COTTAGE TIROLEZ 200G;UN;324;;;;12,59;9,99;23;;;
NENHUMA;7104;QUEIJO GRAN FORMAGGIO LASCAS T. GRANA 150G;UN;324;;;;32,99;27,99;23;;;
NENHUMA;4368;QUEIJO MINAS CANASTRA SABOR DE MINAS KG;KG;324;;;;69,99;59,99;23;;;
NENHUMA;15938;QUEIJO MUSSARELA BOM JARDIM KG;KG;324;;;;39,99;29,99;16;;;
NENHUMA;15577;QUEIJO MUSSARELA VINILAC KG;KG;324;;;;37,99;29,99;23;;;
NENHUMA;8672;QUEIJO PARMESAO FRIMESA RALADO 50G;UN;324;;;;5,79;3,99;23;;;
NENHUMA;16172;QUEIJO PRATO BOM JARDIM KG;KG;324;;;;39,99;32,99;16;;;
NENHUMA;1995;QUEIJO PRESIDENT GRUYERE 160G;UN;324;;;;19,99;15,99;23;;;
NENHUMA;15423;QUEIJO VITORIA TIPO BRIE 125G;UN;3;;;;18,59;13,59;23;;;
NENHUMA;10342;RAID ELETRICO LIQUIDO 329 ML;UN;324;;;;9,99;9,99;26;;;
NENHUMA;15119;RAVIOLONE MEZZANI DE AZ. PRETAS 350G;UN;1;;;;12,59;9,99;23;;;
NENHUMA;7721;REFRESCO PO TANG ABACAXI 25G;UN;324;;;;0,99;0,59;23;;;
NENHUMA;7724;REFRESCO PO TANG GOIABA 25G;UN;324;;;;0,99;0,59;23;;;
NENHUMA;9588;REFRESCO PO TANG GUARANA 25G;UN;324;;;;1,49;0,59;23;;;
NENHUMA;7899;REFRESCO PO TANG LARANJA 25G;UN;324;;;;1,49;0,99;23;;;
NENHUMA;10629;REFRESCO PO TANG LIMAO 25G;UN;324;;;;1,49;0,59;23;;;
NENHUMA;10627;REFRESCO PO TANG MANGA 25G;UN;324;;;;0,89;0,99;23;;;
NENHUMA;296;REFRESCO PO TANG MARACUJA 25G;UN;324;;;;1,49;0,99;23;;;
NENHUMA;10626;REFRESCO PO TANG MORANGO 25G;UN;324;;;;1,49;0,59;23;;;
NENHUMA;8113;REFRESCO PO TANG TANGERINA 25G;UN;324;;;;1,49;0,99;23;;;
NENHUMA;7490;REFRESCO PO TANG UVA 25G;UN;324;;;;1,49;0,99;23;;;
NENHUMA;7903;REQUEIJAO CREM. FRIMESA 200G;UN;1;;;;8,29;6,99;23;;;
NENHUMA;857;REQUEIJAO ELEGE LIGHT 200G;UN;1;;;;12,59;8,99;23;;;
NENHUMA;9725;REQUEIJAO NESTLE TRAD. 200G;UN;1;;;;8,59;6,99;16;;;
NENHUMA;11257;REQUEIJAO QUALY CREMOSO C/QUEIJOS TRAD. 200G;UN;1;;;;9,79;6,99;23;;;
NENHUMA;2925;REQUEIJAO VIGOR LIGHT 200G;UN;1;;;;9,29;6,99;23;;;
NENHUMA;15800;RISOTINHO PAPAPA  ARROZ/QUINOA/FRANGO/LEG. 180G;UN;1;;;;17,99;13,99;23;;;
NENHUMA;4255;SABAO EM PO OMO LAV. PERF. 800G;UN;1;;;;17,99;15,99;16;;;
NENHUMA;9320;SALSICHA HOT DOG PERDIGAO FRANGO 500G;UN;3;;;;12,99;6,99;23;;;
NENHUMA;6071;SARD. GOMES DA COSTA LIMAO 75G;UN;3;;;;5,99;4,99;23;;;
NENHUMA;15907;SELETA M. NATURE SEARA 300G;UN;1;;;;7,99;5,99;23;;;
NENHUMA;2525;SH.SEDA HIDRAT. ANTINOS 325ML;UN;1;;;;10,99;8,99;23;;;
NENHUMA;13481;SHAMPOO JOHNSONS BABY SHAMPOO 200ML;UN;3;;;;14,59;12,99;23;;;
NENHUMA;2221;SHAMPOO SEDA CACHOS DEFINIDOS 325ML;UN;1;;;;11,59;8,99;23;;;
NENHUMA;2522;SHAMPOO SEDA OLEO HIDRATACAO 325ML;UN;1;;;;10,99;8,99;23;;;
NENHUMA;3318;SHAMPOO SEDA PRETOS LUMINOSOS 325ML;UN;1;;;;10,99;8,99;23;;;
NENHUMA;2800;SOBRECOXA DE FRANGO SEARA 1KG;PCT;2;;;;16,99;12,99;23;;;
NENHUMA;10768;SOBREMESA CREMOS CHOC 180G BATAVO;UN;1;;;;2,69;2,69;26;;;
NENHUMA;15799;SOPINHA PAPAPA  LENT/CARNE/LEG. 180G;UN;1;;;;17,99;13,99;23;;;
NENHUMA;13891;SUCO DAFRUTA CAJU PREMIUM 200ML;UN;1;;;;1,99;0,99;23;;;
NENHUMA;15802;SUCO DE UVA  INT. VANISUL 1L;UN;1;;;;15,99;12,99;16;;;
NENHUMA;1871;SUKITA LARANJA 2L;UN;1;;;;5,99;4,99;16;;;
NENHUMA;1869;SUKITA UVA 2L;UN;1;;;;5,99;4,99;16;;;
NENHUMA;389;TEMPERO SAZON FEIJAO 60G;UN;4;;;;5,79;0,99;23;;;
NENHUMA;6336;TENDER SADIA KG;KG;1;;;;94,99;69,99;16;;;
NENHUMA;15015;TIC TAC FRUTAS #COMOTEGUSTA 14G;UN;324;;;;2,89;2,89;23;;;
NENHUMA;15029;TIC TAC LARANJA 14G;UN;324;;;;2,89;2,89;23;;;
NENHUMA;15028;TIC TAC MENTA 14G;UN;324;;;;2,89;2,89;23;;;
NENHUMA;15443;TIC TAC MENTA FRESH 145G;UN;324;;;;2,89;2,89;23;;;
NENHUMA;15156;TIC TAC MORANGO 14G;UN;324;;;;2,59;2,89;23;;;
NENHUMA;15031;TORRADA FRED C/ ERVAS FINAS 150G;UN;1;;;;14,99;5,99;23;;;
NENHUMA;15041;TORRADA FRED S/GLUTEN 150G;UN;1;;;;14,99;5,99;23;;;
NENHUMA;15042;TORRADA FRED Z. ACUCAR 150G;UN;1;;;;14,99;5,99;23;;;
NENHUMA;14454;VINAGRE CRISTAL COLORIDO 750ML;UN;3;;;;2,19;1,59;23;;;
NENHUMA;12172;VINHO B. COOPEG SECO ORG. 750ML;UN;1;;;;35,90;29,99;16;;;
NENHUMA;7810;VINHO B. CORBELLI P. GRIGIO 750ML;UN;1;;;;69,90;59,99;16;;;
NENHUMA;15288;VINHO B. DEOCLEC. LOUR. V. DOC 750ML;UN;1;;;;47,99;39,99;16;;;
NENHUMA;15279;VINHO B. DEOCLEC.ALVARINHO 750ML;UN;1;;;;59,99;52,99;16;;;
NENHUMA;15281;VINHO B. DEOCLEC.VERDE DOC 750ML;UN;1;;;;58,99;49,99;16;;;
